;occurence;false_dep;dep_error(%)
nmod:tmod;1;1;100.0
det:predet;1;1;100.0
nmod:poss;12;12;100.0
obl:tmod;3;3;100.0
flat;11;11;100.0
aux:pass;3;3;100.0
parataxis;4;4;100.0
nsubj:pass;3;3;100.0
flat:foreign;7;7;100.0
xcomp;2;2;100.0
csubj;1;1;100.0
fixed;1;1;100.0
nmod;26;26;100.0
acl:relcl;5;5;100.0
appos;1;1;100.0
compound:prt;1;1;100.0
obj;24;24;100.0
iobj;1;1;100.0
root;20;20;100.0
obl;19;19;100.0
cop;10;10;100.0
case;51;46;90.2
acl;5;4;80.0
conj;7;4;57.14
mark;14;6;42.86
advmod;22;9;40.91
ccomp;5;2;40.0
expl;3;1;33.33
advcl;10;2;20.0
compound;22;3;13.64
amod;30;4;13.33
nsubj;39;4;10.26
punct;62;4;6.45
cc;7;0;0.0
aux;13;0;0.0
det;47;0;0.0
nummod;4;0;0.0